chunk_id,text,wiki_id,chunk_length
iPhone_11_0,"iPhone 11
Released September 20, Apple's mainstream 2019 iPhone comes with a 6.1"" LCD touchscreen, dual cameras, and six available colors. Successor to the iPhone XR.
== Wallpapers ==

Check out our free [link|https://www.ifixit.com/News/33037/iphone-11-and-11-pro-max-teardown-wallpapers|iPhone 11 teardown wallpapers]! Choose from iFixit or Creative Electron (X-ray) versions.

== Teardown ==

Check out our [link|https://www.ifixit.com/News/iphone-11-teardown|iPhone 11 teardown blog post] for more in-depth teardown analysis!

== Background ==

Not to be confused with the more expensive iPhone 11 Pro and Pro Max, the standard iPhone 11 is Apple’s mainstream smartphone starting at $699 USD. It was released in 2019 and came with a slightly larger screen than the iPhone X and XS.",iPhone_11,220
iPhone_11_1,"The [link|https://www.ifixit.com/Store/iPhone/iPhone-11|most often replaced iPhone 11 parts] include the battery, screen, [link|https://www.ifixit.com/Store/iPhone/iPhone-11/Antennas|antennas] and [link|https://www.ifixit.com/Store/iPhone/iPhone-11/Lightning_Connector|lightning connector assembly].

== Identification ==

You can identify the iPhone 11 by finding one of the model numbers either on the inner edge of the SIM card tray or within the phone's Settings app:

* ***A2111***
* ***A2221***
* ***A2223***

You can find the model number through the phone's UI by going to the ***Settings*** app and navigating to ***General*** > ***About***. Tap on the number listed in the ***Model Number*** section and it should change to a format that looks like the numbers above.",iPhone_11,241
iPhone_11_2,"The iPhone 11 features a 6.1 in (diagonal) glass screen with curved edges, thin black bezels, and a notch at the top of the screen to accommodate a speaker and selfie camera. The back cover is glass and the edge frame is made from curved and anodized aluminum.

Volume controls can be found on the left edge while the power button and SIM card tray are situated on the right. A rectangular camera ""bump"" containing two vertically-aligned cameras protrudes slightly from the back case. This model has no home button.

The iPhone 11 can be differentiated from the iPhone 12 by the 11's curved edges relative to the flat edges on the iPhone 12.

== Specifications ==

***Announce date***: September 10, 2019

***Operating System***: iOS 13

***Display:***

* 6.1-inch “Liquid Retina” LCD
* Multi‑touch display with IPS technology
* 1792‑by‑828‑pixel resolution at 326 ppi
* 1400:1 contrast ratio (typical)
* True Tone
* P3 wide color gamut
* 625 nits max brightness (typical)
* Fingerprint-resistant oleophobic coating

***Dual primary camera:***",iPhone_11,261
iPhone_11_3,"***Dual primary camera:***

* True Tone flash
* 4K video recording, up to 60 fps
* Wide-angle module
** 12 MP
** ƒ/1.8 aperture
** Optical image stabilization (OIS)
** Autofocus with 100% Focus Pixels
** Six-element lens
* Ultra-wide module (120° field of view)
** 12 MP
** ƒ/2.4 aperture
** Five-element lens

***TrueDepth selfie camera with Face ID:***

* 12 MP
* ƒ/2.2 aperture
* 4K video recording, up to 60 fps
* Retina Flash

***Processor***: A13 Bionic with 3rd-generation Neural Engine

* 7 nm process
* 6 cores

***RAM***: 4 GB

***Storage***: 64, 128, or 256 GB

***Sensors***:

* Face ID
* Barometer
* Three-axis gyro
* Accelerometer
* Proximity sensor
* Ambient light sensor

***Wireless Connectivity***:",iPhone_11,233
iPhone_11_4,"* Face ID
* Barometer
* Three-axis gyro
* Accelerometer
* Proximity sensor
* Ambient light sensor

***Wireless Connectivity***:

* 802.11ax Wi‑Fi 6 with 2x2 MIMO
* Gigabit-class LTE with 2x2 MIMO and LAA
* Bluetooth 5.0 wireless technology
* Apple-designed U1 Ultra Wideband chip for spatial awareness
* NFC

***Dimensions***: 5.94 × 2.98 × 0.33 in (150.9 × 75.7 × 8.3 mm)

***Weight***: 194 g (6.84 oz)

***Colors***: Black, Green, Yellow, Purple, (PRODUCT) RED, White

== Additional Information ==

* [link|https://support.apple.com/en-us/111865|Official Tech Specs]
* [link|https://en.wikipedia.org/wiki/IPhone_11|Wikipedia: iPhone 11]
* [link|https://support.apple.com/en-us/HT208387|Apple: iPhone Battery and Performance]",iPhone_11,254
Display_Assembly_0,"# Display Assembly
Prerequisite-only guide for detaching the display assembly for access to the iPhone 11 internals.


###Tools Required:

 - P2 Pentalobe Screwdriver iPhone

 - iOpener

 - iFixit Opening Picks (Set of 6)

 - Suction Handle

 - Clampy - Anti-Clamp

 - Tri-point Y000 Screwdriver

 - Spudger

 - Tweezers


###Parts Required:

 - None


## Remove the pentalobe screws
Before you begin, discharge your iPhone battery below 25%. A charged lithium-ion battery can catch fire and/or explode if accidentally punctured.
Power off your iPhone before beginning disassembly.
Remove the two 6.7 mm-long pentalobe screws at the bottom edge of the iPhone.
Opening the iPhone's display will compromise its waterproof seals. Have replacement seals ready before you proceed past this step, or take care to avoid liquid exposure if you reassemble your iPhone without replacing the seals.",Display_Assembly,214
Display_Assembly_1,"## Tape over any cracks
If your iPhone has a cracked screen, keep further breakage contained and prevent bodily harm during your repair by taping over the glass.
Lay overlapping strips of clear packing tape over the iPhone's screen until the whole face is covered.
Wear safety glasses to protect your eyes from any glass shaken free during the repair.
If you can't get the suction cup to stick in the next few steps, fold a strong piece of tape (such as duct tape) into a handle and lift the screen with that instead.
If all else fails, you can superglue the suction cup to the screen.",Display_Assembly,130
Display_Assembly_2,"## Anti-Clamp instructions
The next three steps demonstrate the [product|IF145-513|Anti-Clamp], a tool we designed to make the opening procedure easier. ***If you aren't using the Anti-Clamp, skip down three steps for an alternate method.***
For complete instructions on how to use the Anti-Clamp, [guide|152309|check out this guide|new_window=true].
Pull the blue handle backwards to unlock the Anti-Clamp's arms.
Slide the arms over either the left or right edge of your iPhone.
Position the suction cups near the bottom edge of the iPhone—one on the top, and one on the bottom.
Squeeze the cups together to apply suction to the desired area.
If you find that the surface of your iPhone is too slippery for the Anti-Clamp to hold onto, you can [guide|159595|use tape|new_window=true] to create a grippier surface.


## Step 3
Pull the blue handle forward to lock the arms.
Turn the handle clockwise 360 degrees or until the cups start to stretch.
Make sure the suction cups remain aligned with each other. If they begin to slip out of alignment, loosen the suction cups slightly and realign the arms.",Display_Assembly,277
Display_Assembly_3,"## Step 4
[guide|25705|Heat an iOpener|new_window=true] and thread it through the arms of the Anti-Clamp.
You can also use a [guide|157348|hair dryer|new_window=true], [guide|151116|heat gun|new_window=true], or hot plate—but extreme heat can damage the display and/or internal battery, so proceed with care.
Fold the iOpener so it lays on the bottom edge of the iPhone.
Wait one minute to give the adhesive a chance to release and present an opening gap.
Insert an opening pick into the gap under the screen and the plastic bezel, ***not the screen itself.***
If the Anti-Clamp doesn't create a sufficient gap, apply more heat to the area and rotate the handle a quarter turn.
Don't crank more than a quarter turn at a time, and wait one minute between turns. Let the Anti-Clamp and time do the work for you.
***Skip the next three steps.***",Display_Assembly,235
Display_Assembly_4,"## Heat the lower edge of the phone
Heating the lower edge of the iPhone helps soften the adhesive securing the display, making it easier to open.
Use a hairdryer or heat gun or [https://www.ifixit.com/Guide/iOpener+Heating/25705|prepare an iOpener|new_window=true] and apply it to the lower edge of the iPhone for about a minute.


## Step 6
If you're using a single suction handle, apply it to the bottom edge of the phone, while avoiding the curved portion of the glass.",Display_Assembly,129
