chunk_id,text,wiki_id,chunk_length,repair_type,contains_warning
"iPhone_""L-Shaped""_Battery_Adhesive_Strips_Replacement_0","# iPhone ""L-Shaped"" Battery Adhesive Strips Replacement
Use this guide to correctly apply replacement battery adhesive strips for ""***L-shaped***"" iPhone batteries, including the dual-cell batteries in the iPhone X and XS Max, and the single-cell battery in the iPhone XS. Use the list below to check if your phone is compatible.

If your replacement battery doesn't come with adhesive strips pre-installed, or you're reusing your existing battery, these strips must be replaced. The strips are easily damaged if not applied correctly, so you may want to have a spare set of strips on hand when following this guide for the first time.

These adhesive strips are different from those in prior-generation iPhones due to the presence of the wireless charging coil. The coil lies directly underneath the battery, which is secured with four adhesive strips that are contoured around the coil to avoid damaging it.

Before you begin, you should have removed the battery by following a guide like the ones linked below:","iPhone_""L-Shaped""_Battery_Adhesive_Strips_Replacement",216,battery,False
iPhone_Battery_Adhesive_Strips_Replacement_1,"Before you begin, you should have removed the battery by following a guide like the ones linked below:

* [guide|101279|iPhone 8 Battery Replacement]
* [guide|98260|iPhone 8 Plus Battery Replacement]
* [guide|116553|iPhone XR Battery Replacement]
* [guide|133814|iPhone SE 2020 Battery Replacement]
* [guide|127450|iPhone 11 Battery Replacement]
* [guide|140588|iPhone 12 Battery Replacement]
* [guide|139693|iPhone 12 Mini Battery Replacement]
* [guide|140611|iPhone 12 Pro Battery Replacement]
* [guide|145896|iPhone 13 Battery Replacement]
* [guide|145508|iPhone 13 Mini Battery Replacement]
* [guide|152966|iPhone 14 Battery Replacement]
* [guide|153339|iPhone 14 Plus Battery Replacement]
If you need to replace the adhesive strips in a different model iPhone, use one of the following guides:

* [guide|107792|iPhone 5s, 5c, and SE Battery Adhesives Strips Replacement]
* [guide|56465|iPhone 6, 6 Plus, 6s, 6s Plus, 7, and 7 Plus Battery Adhesive Strips Replacement]
* [guide|117505|iPhone ""L-Shaped"" Battery Adhesive Strips Replacement]",iPhone_Battery_Adhesive_Strips_Replacement,286,battery,False
Recognizing_&_Disconnecting_Cable_Connectors_0,"# Recognizing & Disconnecting Cable Connectors
Modern electronics contain a dizzying array of internal data and power cable connectors—and nothing brings a project crashing to a halt like accidentally breaking a connector.

Use this guide to familiarize yourself with the most common types of connectors, and learn the tools and techniques you’ll need to disconnect (and reconnect) them safely.",Recognizing_&_Disconnecting_Cable_Connectors,81,battery,True
iPhone_SE_Battery_Replacement_1,"- Clampy - Anti-Clamp

 - Anti-Static Project Tray

 - iOpener

 - P2 Pentalobe Screwdriver iPhone

 - Phillips #000 Screwdriver

 - Plastic Cards

 - iFixit Opening Tool

 - Suction Handle

 - Spudger

 - Tweezers

 - Scissors

 - Isopropyl Alcohol


###Parts Required:

 - iPhone SE (1st Gen) Battery

 - iPhone 5s/5c/SE (1st Gen) Battery Adhesive Strips",iPhone_SE_Battery_Replacement,98,battery,False
iPhone_XR_Earpiece_and_Front_Sensor_Assembly_Replacement_11,"## Unscrew the display connector cover
Remove the two 1.2 mm Y000 screws securing the display connector bracket.
Remove the bracket.


## Disconnect the digitizer
Use the tip of a spudger to pry up and disconnect the digitizer cable.
To re-attach [https://www.ifixit.com/Guide/Recognizing+%26+Disconnecting+Cable+Connectors/25629#s70308|press connectors|new_window=true] like this one, carefully align and press down on one side until it clicks into place, then repeat on the other side. Do not press down on the middle. If the connector is misaligned, the pins can bend, causing permanent damage.
If any part of your screen doesn't respond to touch after your repair, disconnect the battery and then re-seat this connector, making sure it clicks fully into place and that there's no dust or other obstruction in the socket.


## Disconnect the display
Use the tip of a spudger to disconnect the display cable connector.",iPhone_XR_Earpiece_and_Front_Sensor_Assembly_Replacement,236,battery,True
iPhone_SE_2020_Battery_Replacement_0,"# iPhone SE 2020 Battery Replacement
Use this guide to revive your iPhone SE 2020’s battery life and performance with a new battery. If your battery is swollen, [[What to do with a swollen battery|take appropriate precautions|new_window=true]].

This guide instructs you to completely detach the display assembly; this is intended to prevent accidental damage to the display cables. If you feel comfortable removing the battery without putting undue strain on the display cables, you can skip the steps for detaching the display. Additionally, while it’s possible to remove the adhesive strips securing the battery as soon as you open the phone, this guide recommends first removing the Taptic Engine. Doing so reduces the risk of breaking the lower adhesive strips accidentally, either by snagging them on the Taptic Engine, or by pulling the strips at too sharp of an angle.

For optimal performance, after completing this guide, [[Battery Calibration|calibrate]] your newly installed battery: Charge it to 100% and keep charging it for at least two more hours. Then use your iPhone until it shuts off due to low battery. Finally, charge it uninterrupted to 100%.


###Tools Required:

 - P2 Pentalobe Screwdriver iPhone

 - Suction Handle",iPhone_SE_2020_Battery_Replacement,272,battery,True
iPhone_XS_Earpiece_Speaker_and_Front_Sensor_Assembly_Replacement_11,"## Step 4
Use a spudger or a fingernail to pry up and disconnect the front panel sensor assembly connector.


## Step 5
Use a spudger or a fingernail to disconnect the OLED panel cable connector.
To re-attach [https://www.ifixit.com/Guide/Recognizing+%26+Disconnecting+Cable+Connectors/25629#s70308|press connectors|new_window=true] like this one, carefully align and press down on one side until it clicks into place, then repeat on the other side. Do not press down on the middle. If the connector is misaligned, the pins can bend, causing permanent damage.


## Step 6
Use a spudger or fingernail to pry the digitizer cable connector up from its socket.
This connector's recessed location makes it tricky to reconnect. Take your time and align it carefully, then gently press it into place with your fingertip—first one side, then the other. You should feel it click into place.
If any part of your screen doesn't respond to touch after your repair, disconnect the battery and then re-seat this connector, making sure it clicks fully into place and that there's no dust or other obstruction in the socket.",iPhone_XS_Earpiece_Speaker_and_Front_Sensor_Assembly_Replacement,278,battery,True
iPhone_14_Pro_Rear-Facing_Camera_Assembly_Replacement_2,"## Remove the pentalobe screws
Power off your iPhone before beginning disassembly.
Remove the two 6.8 mm-long pentalobe P2 screws at the bottom edge of the iPhone.


## Mark your opening picks
If inserted too far, an opening pick can damage your device. Follow this step to mark your pick and prevent damage.
Measure 3 mm from the tip and mark the opening pick with a permanent marker.
You can also mark the other corners of the pick with different measurements.
Alternatively, [link|https://guide-images.cdn.ifixit.com/igi/pQGATIGUbViSB4gB.full|tape a coin to a pick|new_window=true] 3 mm from the tip.


## Tape over any cracks
If your iPhone has a cracked screen, keep further breakage contained and prevent bodily harm during your repair by taping over the glass.
Lay overlapping strips of clear packing tape over the iPhone's screen until the whole face is covered.
Wear safety glasses to protect your eyes from any glass shaken free during the repair.
If you can't get the suction cup to stick in the next few steps, fold a strong piece of tape (such as duct tape) into a handle and lift the screen with that instead.
If all else fails, you can superglue the suction cup to the screen.",iPhone_14_Pro_Rear-Facing_Camera_Assembly_Replacement,291,battery,True
iPhone_16_Pro_Max_Battery_Replacement_1,"- Standoff Screwdriver for iPhones

 - iFixit Opening Picks (Set of 6)

 - Suction Handle

 - Tweezers

 - Spudger

 - Hair Dryer

 - Isopropyl Alcohol (90% or Greater)

 - Coffee Filters or a lint-free cloth

 - Microfiber Cleaning Cloths

 - Masking Tape

 - Heavy Books

 - Coin

 - Packing Tape

 - Heat Gun

 - iOpener

 - ESD Safe Blunt Nose Tweezers


###Parts Required:

 - iPhone 16 Pro Max Battery

 - iPhone 16 Pro Max Battery Adhesive

 - Tesa 61395 Tape

 - Stretch Release Battery Adhesive",iPhone_16_Pro_Max_Battery_Replacement,128,battery,False
iPhone_15_Pro_Max_Chip_ID_2,"## Main PCB Side 2 - Connectivity
Likely Apple 339M00298 UWB Module


## Main PCB Side 2 - Sensors
Bosch Sensortec 6-axis MEMS accelerometer & gyroscope


## Radio Board Side 1
STMicroelectronics [link|https://www.st.com/en/secure-mcus/st33-arm-core.html|ST33J|new_window=true] secure microcontroller
Qualcomm PMX65 power management
Qualcomm QET7100 wideband envelope tracker
Likely Qualcomm clock generator


## Radio Board Side 1 - Connectivity
Qualcomm [link|https://www.qualcomm.com/products/technology/modems/snapdragon-x70-modem-rf-system|SDX70M|new_window=true] Snapdragon X70 modem
Qualcomm SDR735 RF transceiver
Qualcomm SMR546 RF transceiver
Possibly Apple 339S01232 WiFi & Bluetooth module
Broadcom AFEM-8234 front-end module
Skyworks SKY58440-11 front-end module
Qorvo QM76305 front-end module",iPhone_15_Pro_Max_Chip_ID,273,battery,False
