chunk_id,text,wiki_id,chunk_length,repair_type,contains_warning
"iMac_Intel_21.5""_EMC_3068_Hard_Drive_Replacement_7","## Step 3
Lift the display up from the frame and remove it from the iMac.
It may be necessary to slowly lift from one side to peel against the remaining adhesive.
Be very careful handling the display—it's big, heavy, and made of glass.
After the adhesive is cut, it cannot be used to re-seal the display in place. Follow [https://www.ifixit.com/Guide/iMac+Intel+21.5-Inch+EMC+3068+Adhesive+Strips+Replacement/103321|this guide|new_window=true] to replace the adhesive strips that secure the display to the rear enclosure.


## Step 1
Remove the following T10 Torx screws securing the hard drive brackets to the iMac:
Two 21 mm screws
One 9 mm screw
One 27 mm screw


## Step 2
Remove the left and right hard drive brackets from the iMac.


## Step 1
Lift the hard drive from the edge nearest the logic board and pull it slightly out of its recess.
The hard drive is still attached by its SATA cable; do not attempt to fully remove it from the iMac yet.","iMac_Intel_21.5""_EMC_3068_Hard_Drive_Replacement",248,case,True
"MacBook_Air_13""_Mid_2013_Logic_Board_Replacement_6","## Step 6
Use the tip of a spudger to flip up the retaining flap on the keyboard backlight ribbon cable ZIF socket.
Be sure you are prying up on the hinged retaining flap, '''not''' the socket itself.
Use your spudger to gently pull the keyboard backlight ribbon cable out of its socket.


## Step 7
Use the flat end of a spudger to pry the right speaker cable connector up and out of its socket on the logic board.
It is recommended to pry up from beneath the cables.


## Step 8
Remove the six 6.3 mm T5 Torx screws securing the logic board to the upper case.
On some models these may be 4.1 mm T5 Torx screws.


## Step 9
Remove the inner two 4.9 mm T8 Torx screws securing the antenna cable retainer and left clutch hinge to the upper case.


## Step 10
Push the antenna cable retainer away slightly and remove the 3 mm T5 Torx screw securing the end of the heat sink to the upper case.


## Step 11
Slide the flat end of a spudger under the right speaker from the end nearest the hinge to the front edge of the Air to loosen the adhesive.
Remove the right speaker from the upper case.","MacBook_Air_13""_Mid_2013_Logic_Board_Replacement",274,case,False
"MacBook_Pro_13""_Function_Keys_Late_2016_Battery_Replacement_4","## Step 4
Repeat the previous step on the opposite side, sliding your opening pick under the lower case and up the side to pop the second clip free.


## Step 5
Insert your opening pick once again under the front edge of the lower case, near one of the two centermost screw holes.
Give the pick a firm twist to pop free the third clip securing the lower case to the chassis.
Repeat this procedure near the other of the two centermost screw holes, popping the fourth clip free.


## Step 6
Pull the lower case firmly towards the front of the MacBook (away from the hinge area) to separate the last of the clips securing the lower case.
It may help to pull first at one corner, then the other.
This may require a lot of force.


## Step 7
Remove the lower case.


## Step 1
Carefully peel up the large piece of tape covering the battery connector, on the edge of the logic board nearest the battery.
Remove the tape.


## Step 2
Gently peel back the small piece of tape covering the battery board data cable connector.
The tape is integrated into the ribbon cable and will not detach completely. Simply peel it back enough to access the connector.


## Step 3
Use the tip of a spudger to flip up the small black locking tab securing the cable in its connector.","MacBook_Pro_13""_Function_Keys_Late_2016_Battery_Replacement",274,case,True
"MacBook_Pro_16""_2021_Fan_Assembly_Replacement_13","## Unfasten the fans
Use a Torx driver to remove the following screws securing the fans to the frame:
Four 3.3 mm T3 screws
Four 3 mm T5 screws


## Remove the fans
Remove the fans.
***To reassemble your device, follow these instructions in reverse order.***

Compare your new replacement part to the original part—you may need to transfer remaining components or remove adhesive backings from the new part before you install it.

Repair didn’t go as planned? Try some [[Troubleshooting Problems After a Repair|basic troubleshooting]], or ask our [link|https://www.ifixit.com/Answers/Device/MacBook%20Pro%2016%22%202021|MacBook Pro 16"" 2021 Answers community] for help.","MacBook_Pro_16""_2021_Fan_Assembly_Replacement",178,case,False
"iMac_Intel_20""_EMC_2105_and_2118_Logic_Board_Replacement_9","## Step 13
Remove the following seven screws securing the logic board to the rear case:
Three coarse-thread T10 Torx.
Three fine-thread T10 Torx.
One long coarse-thread T10 Torx.


## Step 14
Carefully rotate the top edge of the logic board out of the rear case and lift the board up out of the iMac, minding the RAM arms and any cables that may get caught.
Be especially careful with the hard drive thermal sensor cable that is routed underneath the heat sink framework.
Only handle the logic board by its edges.
To reassemble your device, follow these instructions in reverse order.","iMac_Intel_20""_EMC_2105_and_2118_Logic_Board_Replacement",133,case,True
"MacBook_Pro_13""_Retina_Display_Early_2013_Trackpad_Replacement_9","## Step 12
Lift the battery as a whole up out of the upper case, and remove the battery.
Before installing a new battery, remove all the old adhesive from the MacBook Pro's case.
With a little luck, you can slowly pull out each strip of adhesive with your fingers.
Otherwise, soak each section of adhesive with a bit of adhesive remover for 2-3 minutes, and then scrape it out with an opening pick or one of the other tools in your kit. This can take quite a bit of work, so be patient.
Mop up any remaining adhesive remover and give your MacBook Pro a few minutes to air dry.
The replacement battery included in your iFixit kit comes with adhesive pre-installed. Test the battery's fit and alignment carefully before peeling off the film covering the adhesive, and then press each cell firmly into place. If any additional films/liners are present that weren't on your original battery, remove them now.","MacBook_Pro_13""_Retina_Display_Early_2013_Trackpad_Replacement",209,case,True
"iMac_Intel_21.5""_Retina_4K_Display_(2017)_Logic_Board_Replacement_5","## Step 16
Slide the plastic card toward the center, again stopping just before the iSight camera.


## Step 17
Wedge the plastic card back into the top left corner.


## Step 18
With both plastic cards inserted as shown near the corners, gently twist the cards sideways to increase the gap between display and case.
If there are any sections that seem to stick and won't separate, stop twisting and use one of the cards to cut the remaining adhesive.
Begin to lift the top of the display up from the frame.
Only lift the display a few inches—the display data and power cables are still connected to the logic board.


## Step 1
Lift the display up enough to have easy access to the connector, but not so much that you stretch the cables and stress their connections (about 8"").
Hold the display with one hand while using your other hand to unplug the display power cable.


## Step 2
Continuing to support the display with one hand, flip up the metal retaining bracket on the display data cable.
Carefully pull the display data cable from its socket on the logic board.
Be sure to pull the display data cable connector straight out of its socket, keeping it parallel to the motherboard, to avoid damaging it.","iMac_Intel_21.5""_Retina_4K_Display_(2017)_Logic_Board_Replacement",255,case,True
"MacBook_Pro_15""_Touch_Bar_2018_Trackpad_Replacement_3","## Step 4
Repeat the previous step on the other side, using an opening pick to to release the second clip.


## Step 5
Lift the front edge of the lower case (the side opposite the display hinge) enough to slide your fingertips underneath and get a good grip on it.
Two additional hidden clips near the middle of the cover should pop free at this point, if they haven't already.
Don't lift more than an inch or so, and don't try to remove the lower case yet.


## Step 6
Pull firmly to slide the lower case towards the front edge of the MacBook (away from the hinge area) to separate the last of the clips securing the lower case.
Pull first at one corner, then the other.
Pull to the side—not up.
This may require a lot of force.","MacBook_Pro_15""_Touch_Bar_2018_Trackpad_Replacement",173,case,False
"iMac_Intel_20""_EMC_2266_Hard_Drive_Replacement_3","## Step 3
Disconnect the microphone cable connector, removing tape as necessary.
For the front bezel to sit properly, be sure to tuck the microphone cable and connector into the void next to the camera board.


## Step 1
Pull the LCD temperature sensor connector straight up off its socket on the logic board.
(located at the top of the logic board on the 24"")


## Step 2
Remove the two T6 Torx screws securing the display data cable to the logic board.
Use the attached black tab to pull the display data cable connector straight away from the logic board.


## Step 3
Remove the eight T8 Torx screws securing the display panel to the rear case.
Lift the display panel from its left edge and rotate it toward the right edge of the iMac.


## Step 4
With the display panel still lifted, disconnect the four inverter cables.
During reinstallation, place the four inverter cable connectors in voids between components attached to the rear panel so the display panel will sit flush on the edges of the rear case.
(combined into one plug in on the 24"")
Be sure to keep track of the cables, as they do not have proprietary sockets. Mismatched cables can cause screen issues.","iMac_Intel_20""_EMC_2266_Hard_Drive_Replacement",261,case,True
"MacBook_Air_13""_Retina_Display_2019_Lower_Case_Replacement_0","# MacBook Air 13"" Retina Display 2019 Lower Case Replacement
Use this guide to replace the lower case on your 2019 MacBook Air, or to remove it for further repair.


###Tools Required:

 - P5 Pentalobe Screwdriver Retina MacBook Pro and Air


###Parts Required:

 - MacBook Air 13"" (Late 2018-Early 2020) Lower Case

 - MacBook Air 13"" (Late 2018-Late 2020) Lower Case Screw Set","MacBook_Air_13""_Retina_Display_2019_Lower_Case_Replacement",98,case,False
